ARRAY_S0,ARRAY_S1,ARRAY_S2,ARRAY_S3,ARRAY_S4,ARRAY_S5,ARRAY_S6,ARRAY_S7,ARRAY_S8,ARRAY_S9,MOX_1,MOX_2,MOX_3,MOX_4,SHT_HUMID,SHT_TEMP,DATETIME,CLASS_NAME,SAMPLE_INDEX,
26434,30513,36401,29006,674197,3131828,497573,2048,9908,4547,1818,289853,179009,589,39024,27944,2024-03-04 13:32:17,Baseline,1966,
26440,30519,36400,29020,675119,3144434,497510,2048,9906,4547,1821,292587,178776,588,39047,27941,2024-03-04 13:32:32,Baseline,1966,
26434,30515,36382,29055,674369,3162396,498158,2049,9903,4546,1815,289954,178921,591,39017,27954,2024-03-04 13:32:47,Baseline,1966,
26429,30515,36371,28990,673381,3179993,497118,2051,9904,4547,1814,289816,179786,591,39047,27946,2024-03-04 13:33:01,Baseline,1966,
26422,30505,36373,29011,673473,3145820,497821,2051,9903,4547,1814,289018,179547,590,38998,27938,2024-03-04 13:33:16,Baseline,1966,
26442,30502,36384,29013,672584,3179111,500982,2049,9905,4548,1816,289435,179523,591,39026,27952,2024-03-04 13:33:31,Baseline,1966,
26422,30491,36388,29020,676368,3148635,499179,2049,9906,4549,1816,288901,179652,592,39057,27925,2024-03-04 13:33:46,Baseline,1966,
26436,30502,36412,28970,672472,3184850,500427,2050,9911,4549,1810,288602,180226,593,39097,27941,2024-03-04 13:34:01,Baseline,1966,
26432,30501,36367,28988,674785,3151770,500285,2049,9911,4548,1810,288419,180604,592,39068,27930,2024-03-04 13:34:15,Baseline,1966,
26421,30508,36370,28990,675714,3195489,506300,2048,9912,4547,1808,287778,180569,590,39114,27928,2024-03-04 13:34:30,Baseline,1966,
26424,30510,36403,29013,676468,3150990,504931,2050,9911,4548,1809,288139,180466,590,39127,27968,2024-03-04 13:34:45,Baseline,1966,
26432,30517,36391,28993,674178,3178117,503516,2048,9912,4547,1810,287774,180572,590,39076,27946,2024-03-04 13:35:00,Baseline,1966,
26429,30478,36412,29018,676501,3135129,504980,2051,9912,4547,1808,288108,181008,591,39162,27925,2024-03-04 13:35:15,Baseline,1966,
26422,30506,36404,29003,676941,3165533,504660,2049,9913,4548,1806,288346,181393,590,39131,27930,2024-03-04 13:35:29,Baseline,1966,
26421,30516,36425,28982,677981,3179378,505884,2047,9914,4548,1805,287478,181805,590,39099,27920,2024-03-04 13:35:44,Baseline,1966,
26435,30521,36422,28985,677150,3142983,504895,2049,9912,4548,1802,287565,181360,589,39148,27917,2024-03-04 13:35:59,Baseline,1966,
26442,30517,36399,28983,678930,3132134,505898,2050,9914,4548,1801,288590,181472,592,39143,27901,2024-03-04 13:36:14,Baseline,1966,
26429,30499,36458,29017,677073,3127339,504184,2048,9918,4549,1802,289409,182277,591,39160,27888,2024-03-04 13:36:29,Baseline,1966,
26426,30500,36525,29024,676784,3176439,505933,2049,9919,4550,1800,287741,181876,591,39194,27912,2024-03-04 13:36:43,Baseline,1966,
26433,30513,36444,29015,674813,3121710,505995,2051,9918,4553,1800,286804,182077,592,39200,27901,2024-03-04 13:36:58,Baseline,1966,
26434,30515,36425,29036,679691,3161277,503831,2047,9917,4551,1799,286320,182264,592,39209,27858,2024-03-04 13:37:13,Baseline,1966,
26430,30511,36433,29023,677131,3139707,503409,2051,9921,4550,1801,288653,182573,593,39274,27888,2024-03-04 13:37:28,Baseline,1966,
26435,30508,36407,29020,676917,3117340,504668,2050,9916,4550,1798,286435,182547,593,39240,27917,2024-03-04 13:37:43,Baseline,1966,
26434,30524,36400,29035,675294,3157735,504024,2051,9918,4552,1798,286824,182869,591,39265,27904,2024-03-04 13:37:57,Baseline,1966,
26429,30531,36407,29011,676110,3128104,503573,2048,9923,4551,1798,286050,183587,595,39341,27874,2024-03-04 13:38:12,Baseline,1966,
26422,30532,36463,29007,674490,3168017,505504,2048,9920,4550,1797,285650,183043,592,39217,27904,2024-03-04 13:38:27,Baseline,1966,
26436,30526,36445,28993,675869,3146594,501629,2048,9924,4552,1796,285899,183346,590,39289,27925,2024-03-04 13:38:42,Baseline,1966,
26444,30516,36408,29010,676812,3199062,501859,2049,9923,4549,1795,285196,183457,593,39295,27914,2024-03-04 13:38:57,Baseline,1966,
26451,30524,36404,29005,675025,3182948,498658,2050,9926,4550,1796,284880,183866,593,39288,27922,2024-03-04 13:39:26,Baseline,1966,
26442,30544,36425,29030,673507,3205491,504297,2048,9925,4552,1791,285845,184720,592,39307,27882,2024-03-04 13:39:41,Baseline,1966,
26443,30502,36385,29023,675056,3184105,502588,2049,9922,4553,1791,284504,184214,592,39289,27872,2024-03-04 13:39:56,Baseline,1966,
26435,30535,36429,28984,672836,3200542,503006,2050,9921,4551,1789,285258,184813,594,39370,27888,2024-03-04 13:40:10,Baseline,1966,
26442,30521,36461,29020,674464,3171387,499693,2049,9929,4554,1794,286207,185237,591,39322,27856,2024-03-04 13:40:25,Baseline,1966,
26437,30494,36429,29052,676482,3177384,500839,2048,9932,4553,1790,284836,184755,593,39331,27845,2024-03-04 13:40:40,Baseline,1966,
